type,img,name,link,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Dave_Ramsey.png,Dave Ramsey,dave-ramsey-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Matt_Mullenweg.png,Matt Mullenweg,matt-mullenweg-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Arianna_Huffington.png,Arianna Huffington,arianna-huffington-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Nick_Szabo.png,Nick Szabo,nick-szabo-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Caterina_Fake.png,Caterina Fake,caterina-fake-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Max_Levchin.png,Max Levchin,max-levchin-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Bryan_Johnson.png,Bryan Johnson,bryan-johnson-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Derek_Sivers.png,Derek Sivers,derek-sivers-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tony_Robbins.png,Tony Robbins,tony-robbins-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jeff_Atwood.png,Jeff Atwood,jeff-atwood-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ryan_Hoover.png,Ryan Hoover,ryan-hoover-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Kevin_Rose.png,Kevin Rose,kevin-rose-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ryan_Petersen.png,Ryan Petersen,ryan-petersen-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Kathryn_Minshew.png,Kathryn Minshew,kathryn-minshew-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Alexis_Ohanian.png,Alexis Ohanian,alexis-ohanian-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/David_Heinemeier_Hansson.png,David Heinemeier Hansson,david-heinemeier-hansson-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tristan_Harris.png,Tristan Harris,tristan-harris-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Brandon_Stanton.png,Brandon Stanton,brandon-stanton-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Neville_Medhora.png,Neville Medhora,neville-medhora-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Daymond_John.png,Daymond John,daymond-john-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Chase_Jarvis.png,Chase Jarvis,chase-jarvis-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Aaron_Levie.png,Aaron Levie,aaron-levie-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/James_Altucher.png,James Altucher,james-altucher-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Chris_Anderson.png,Chris Anderson,chris-anderson-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Gary_Vaynerchuk.png,Gary Vaynerchuk,gary-vaynerchuk-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/DJ_Vlad.png,DJ Vlad,dj-vlad-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Scott_Belsky.png,Scott Belsky,scott-belsky-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Andrew_Ng.png,Andrew Ng,andrew-ng-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Safi_Bahcall.png,Safi Bahcall,safi-bahcall-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ricardo_Semler.png,Ricardo Semler,ricardo-semler-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Zooko_Wilcox.png,Zooko Wilcox,zooko-wilcox-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Liz_Lambert.png,Liz Lambert,liz-lambert-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Demis_Hassabis.png,Demis Hassabis,demis-hassabis-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Biz_Stone.png,Biz Stone,biz-stone-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tony_Hsieh.png,Tony Hsieh,tony-hsieh-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Laura_R_Walker.png,Laura R Walker,laura-r-walker-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Peter_Diamandis.png,Peter Diamandis,peter-diamandis-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jason_Fried.png,Jason Fried,jason-fried-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Joe_Gebbia.png,Joe Gebbia,joe-gebbia-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jacqueline_Novogratz.png,Jacqueline Novogratz,jacqueline-novogratz-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jim_Kwik.png,Jim Kwik,jim-kwik-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Sophia_Amoruso.png,Sophia Amoruso,sophia-amoruso-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Phil_Libin.png,Phil Libin,phil-libin-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Jerry_Colonna.png,Jerry Colonna,jerry-colonna-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ryan_Shea.png,Ryan Shea,ryan-shea-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/M._Sanjayan.png,M. Sanjayan,m-sanjayan-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Julie_Rice.png,Julie Rice,julie-rice-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Nick_Ganju.png,Nick Ganju,nick-ganju-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Michael_McCullough.png,Michael McCullough,michael-mccullough-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Andrew_Yang.png,Andrew Yang,andrew-yang-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Astro_Teller.png,Astro Teller,astro-teller-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Whitney_Wolfe_Herd.png,Whitney Wolfe Herd,whitney-wolfe-herd-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Blake_Mycoskie.png,Blake Mycoskie,blake-mycoskie-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Luis_von_Ahn.png,Luis von Ahn,luis-von-ahn-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Aaron_Nagler.png,Aaron Nagler,aaron-nagler-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Muna_AbuSulayman.png,Muna AbuSulayman,muna-abusulayman-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Cindy_Eckert.png,Cindy Eckert,cindy-eckert-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Bob_Metcalfe.png,Bob Metcalfe,bob-metcalfe-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Ed_Catmull.png,Ed Catmull,ed-catmull-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Tracy_DiNunzio.png,Tracy DiNunzio,tracy-dinunzio-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Marie_Forleo.png,Marie Forleo,marie-forleo-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Samy_Kamkar.png,Samy Kamkar,samy-kamkar-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Fedor_Holz.png,Fedor Holz,fedor-holz-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Terry_Laughlin.png,Terry Laughlin,terry-laughlin-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Bill_Rasmussen.png,Bill Rasmussen,bill-rasmussen-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Strauss_Zelnick.png,Strauss Zelnick,strauss-zelnick-books,,,
entrepreneur,https://learn-awesome.github.io/assets/people/Murray_Carter.png,Murray Carter,murray-carter-books,,,
executive,https://learn-awesome.github.io/assets/people/Bob_Iger.png,Bob Iger,bob-iger-books,,,
executive,https://learn-awesome.github.io/assets/people/Frank_Blake.png,Frank Blake,frank-blake-books,,,
executive,https://learn-awesome.github.io/assets/people/Dick_Costolo.png,Dick Costolo,dick-costolo-books,,,
executive,https://learn-awesome.github.io/assets/people/Doug_McMillon.png,Doug McMillon,doug-mcmillon-books,,,
executive,https://learn-awesome.github.io/assets/people/Bozoma_Saint_John.png,Bozoma Saint John,bozoma-saint-john-books,,,
executive,https://learn-awesome.github.io/assets/people/Geoff_Ralston.png,Geoff Ralston,geoff-ralston-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Brian_Koppelman.png,Brian Koppelman,brian-koppelman-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Casey_Neistat.png,Casey Neistat,casey-neistat-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/David_Lynch.png,David Lynch,david-lynch-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Jason_Silva.png,Jason Silva,jason-silva-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Jon_Favreau.png,Jon Favreau,jon-favreau-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Darren_Aronofsky.png,Darren Aronofsky,darren-aronofsky-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/James_Cameron.png,James Cameron,james-cameron-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Guillermo_del_Toro.png,Guillermo del Toro,guillermo-del-toro-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Jimmy_Chin.png,Jimmy Chin,jimmy-chin-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Sebastian_Junger.png,Sebastian Junger,sebastian-junger-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Robert_Rodriguez.png,Robert Rodriguez,robert-rodriguez-books,,,
filmmaker,https://learn-awesome.github.io/assets/people/Morgan_Spurlock.png,Morgan Spurlock,morgan-spurlock-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Charles_Poliquin.png,Charles Poliquin,charles-poliquin-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Laird_Hamilton.png,Laird Hamilton,laird-hamilton-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Kelly_Starrett.png,Kelly Starrett,kelly-starrett-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Pavel_Tsatsouline.png,Pavel Tsatsouline,pavel-tsatsouline-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Dave_Camarillo.png,Dave Camarillo,dave-camarillo-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Ryan_Flaherty.png,Ryan Flaherty,ryan-flaherty-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Mark_Bell.png,Mark Bell,mark-bell-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Joe_De_Sena.png,Joe De Sena,joe-de-sena-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Travis_Brewer.png,Travis Brewer,travis-brewer-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Art_De_Vany.png,Art De Vany,art-de-vany-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Jerzy_Gregorek.png,Jerzy Gregorek,jerzy-gregorek-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Dr._Martin_Gibala.png,Dr. Martin Gibala,dr-martin-gibala-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Dorian_Yates.png,Dorian Yates,dorian-yates-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Brian_MacKenzie.png,Brian MacKenzie,brian-mackenzie-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Gabby_Reece.png,Gabby Reece,gabby-reece-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Christopher_Sommer.png,Christopher Sommer,christopher-sommer-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Jason_Nemer.png,Jason Nemer,jason-nemer-books,,,
fitness-expert,https://learn-awesome.github.io/assets/people/Jason_Khalipa.png,Jason Khalipa,jason-khalipa-books,,,
investor,https://learn-awesome.github.io/assets/people/Naval_Ravikant.png,Naval Ravikant,naval-ravikant-books,,,
investor,https://learn-awesome.github.io/assets/people/Eric_Weinstein.png,Eric Weinstein,eric-weinstein-books,,,
investor,https://learn-awesome.github.io/assets/people/Ben_Horowitz.png,Ben Horowitz,ben-horowitz-books,,,
investor,https://learn-awesome.github.io/assets/people/Jason_Calacanis.png,Jason Calacanis,jason-calacanis-books,,,
investor,"https://learn-awesome.github.io/assets/people/Mike_Maples,_Jr..png","Mike Maples, Jr.",mike-maples-jr-books,,,
investor,https://learn-awesome.github.io/assets/people/Graham_Duncan.png,Graham Duncan,graham-duncan-books,,,
investor,https://learn-awesome.github.io/assets/people/Steve_Jurvetson.png,Steve Jurvetson,steve-jurvetson-books,,,
investor,https://learn-awesome.github.io/assets/people/Peter_Mallouk.png,Peter Mallouk,peter-mallouk-books,,,
investor,https://learn-awesome.github.io/assets/people/Ann_Miura-Ko.png,Ann Miura-Ko,ann-miura-ko-books,,,
investor,https://learn-awesome.github.io/assets/people/Andrew_Chen.png,Andrew Chen,andrew-chen-books,,,
investor,https://learn-awesome.github.io/assets/people/Mark_Hart.png,Mark Hart,mark-hart-books,,,
investor,https://learn-awesome.github.io/assets/people/Bill_Gurley.png,Bill Gurley,bill-gurley-books,,,
investor,https://learn-awesome.github.io/assets/people/Elad_Gil.png,Elad Gil,elad-gil-books,,,
investor,https://learn-awesome.github.io/assets/people/Alfred_Lin.png,Alfred Lin,alfred-lin-books,,,
investor,https://learn-awesome.github.io/assets/people/Adam_Fisher.png,Adam Fisher,adam-fisher-books,,,
journalist,https://learn-awesome.github.io/assets/people/Anderson_Cooper.png,Anderson Cooper,anderson-cooper-books,,,
journalist,https://learn-awesome.github.io/assets/people/Fareed_Zakaria.png,Fareed Zakaria,fareed-zakaria-books,,,
journalist,https://learn-awesome.github.io/assets/people/Ezra_Klein.png,Ezra Klein,ezra-klein-books,,,
journalist,https://learn-awesome.github.io/assets/people/Lisa_Ling.png,Lisa Ling,lisa-ling-books,,,
journalist,https://learn-awesome.github.io/assets/people/Kara_Swisher.png,Kara Swisher,kara-swisher-books,,,
journalist,https://learn-awesome.github.io/assets/people/Nick_Thompson.png,Nick Thompson,nick-thompson-books,,,
journalist,https://learn-awesome.github.io/assets/people/Katie_Couric.png,Katie Couric,katie-couric-books,,,
journalist,https://learn-awesome.github.io/assets/people/Joel_Stein.png,Joel Stein,joel-stein-books,,,
model,https://learn-awesome.github.io/assets/people/Karlie_Kloss.png,Karlie Kloss,karlie-kloss-books,,,
model,https://learn-awesome.github.io/assets/people/Emily_Ratajkowski.png,Emily Ratajkowski,emily-ratajkowski-books,,,
musician,https://learn-awesome.github.io/assets/people/Taylor_Swift.png,Taylor Swift,taylor-swift-books,,,
musician,https://learn-awesome.github.io/assets/people/Ariana_Grande.png,Ariana Grande,ariana-grande-books,,,
musician,https://learn-awesome.github.io/assets/people/Selena_Gomez.png,Selena Gomez,selena-gomez-books,,,
musician,https://learn-awesome.github.io/assets/people/Alicia_Keys.png,Alicia Keys,alicia-keys-books,,,
musician,https://learn-awesome.github.io/assets/people/Diddy.png,Diddy,diddy-books,,,
musician,https://learn-awesome.github.io/assets/people/Big_Sean.png,Big Sean,big-sean-books,,,
musician,https://learn-awesome.github.io/assets/people/John_Legend.png,John Legend,john-legend-books,,,
musician,https://learn-awesome.github.io/assets/people/J._Cole.png,J. Cole,j-cole-books,,,
musician,https://learn-awesome.github.io/assets/people/Dave_Elitch.png,Dave Elitch,dave-elitch-books,,,
musician,https://learn-awesome.github.io/assets/people/Steve_Aoki.png,Steve Aoki,steve-aoki-books,,,
musician,https://learn-awesome.github.io/assets/people/Amanda_Palmer.png,Amanda Palmer,amanda-palmer-books,,,
musician,https://learn-awesome.github.io/assets/people/Donald_Glover.png,Donald Glover,donald-glover-books,,,
musician,https://learn-awesome.github.io/assets/people/Carlos_Santana.png,Carlos Santana,carlos-santana-books,,,
musician,https://learn-awesome.github.io/assets/people/Mike_Shinoda.png,Mike Shinoda,mike-shinoda-books,,,
musician,https://learn-awesome.github.io/assets/people/Rick_Rubin.png,Rick Rubin,rick-rubin-books,,,
musician,https://learn-awesome.github.io/assets/people/Justin_Boreta.png,Justin Boreta,justin-boreta-books,,,
musician,https://learn-awesome.github.io/assets/people/Bob_Dylan.png,Bob Dylan,bob-dylan-books,,,
musician,,Kaskade,kaskade-books,,,
musician,https://learn-awesome.github.io/assets/people/Amy_Winehouse.png,Amy Winehouse,amy-winehouse-books,,,
musician,https://learn-awesome.github.io/assets/people/Nicholas_McCarthy.png,Nicholas McCarthy,nicholas-mccarthy-books,,,
other,https://learn-awesome.github.io/assets/people/Khlo%C3%A9_Kardashian.png,Khloé Kardashian,khloe-kardashian-books,,,
other,https://learn-awesome.github.io/assets/people/David_Blaine.png,David Blaine,david-blaine-books,,,
other,https://learn-awesome.github.io/assets/people/Dita_Von_Teese.png,Dita Von Teese,dita-von-teese-books,,,
other,https://learn-awesome.github.io/assets/people/Shay_Carl.png,Shay Carl,shay-carl-books,,,
other,https://learn-awesome.github.io/assets/people/Liv_Boeree.png,Liv Boeree,liv-boeree-books,,,
other,https://learn-awesome.github.io/assets/people/Ayaan_Hirsi_Ali.png,Ayaan Hirsi Ali,ayaan-hirsi-ali-books,,,
other,https://learn-awesome.github.io/assets/people/Ed_Zschau.png,Ed Zschau,ed-zschau-books,,,
other,https://learn-awesome.github.io/assets/people/Wim_Hof.png,Wim Hof,wim-hof-books,,,
other,https://learn-awesome.github.io/assets/people/Will_MacAskill.png,Will MacAskill,will-macaskill-books,,,
other,https://learn-awesome.github.io/assets/people/Alice_Little.png,Alice Little,alice-little-books,,,
other,https://learn-awesome.github.io/assets/people/Maurice_Ashley.png,Maurice Ashley,maurice-ashley-books,,,
other,https://learn-awesome.github.io/assets/people/J%C3%A9r%C3%B4me_Jarre.png,Jérôme Jarre,jerome-jarre-books,,,
other,https://learn-awesome.github.io/assets/people/Ed_Latimore.png,Ed Latimore,ed-latimore-books,,,
other,https://learn-awesome.github.io/assets/people/Vlad_Zamfir.png,Vlad Zamfir,vlad-zamfir-books,,,
other,https://learn-awesome.github.io/assets/people/David_Copperfield.png,David Copperfield,david-copperfield-books,,,
other,https://learn-awesome.github.io/assets/people/Brendan_Schaub.png,Brendan Schaub,brendan-schaub-books,,,
other,https://learn-awesome.github.io/assets/people/Jonathan_Sacks.png,Jonathan Sacks,jonathan-sacks-books,,,
other,https://learn-awesome.github.io/assets/people/Daniel_Negreanu.png,Daniel Negreanu,daniel-negreanu-books,,,
other,https://learn-awesome.github.io/assets/people/Richard_Betts.png,Richard Betts,richard-betts-books,,,
other,https://learn-awesome.github.io/assets/people/Adam_Sessler.png,Adam Sessler,adam-sessler-books,,,
other,https://learn-awesome.github.io/assets/people/Stanley_McChrystal.png,Stanley McChrystal,stanley-mcchrystal-books,,,
other,https://learn-awesome.github.io/assets/people/Sid_Meier.png,Sid Meier,sid-meier-books,,,
other,https://learn-awesome.github.io/assets/people/Mike_Phillips.png,Mike Phillips,mike-phillips-books,,,
politician,https://learn-awesome.github.io/assets/people/Barack_Obama.png,Barack Obama,barack-obama-books,,,
politician,https://learn-awesome.github.io/assets/people/Hillary_Clinton.png,Hillary Clinton,hillary-clinton-books,,,
politician,https://learn-awesome.github.io/assets/people/Michelle_Obama.png,Michelle Obama,michelle-obama-books,,,
politician,https://learn-awesome.github.io/assets/people/Bill_Clinton.png,Bill Clinton,bill-clinton-books,,,
politician,https://learn-awesome.github.io/assets/people/Alexandria_Ocasio-Cortez.png,Alexandria Ocasio-Cortez,alexandria-ocasio-cortez-books,,,
politician,https://learn-awesome.github.io/assets/people/Cory_Booker.png,Cory Booker,cory-booker-books,,,
politician,https://learn-awesome.github.io/assets/people/Elizabeth_Warren.png,Elizabeth Warren,elizabeth-warren-books,,,
politician,https://learn-awesome.github.io/assets/people/Al_Gore.png,Al Gore,al-gore-books,,,
politician,https://learn-awesome.github.io/assets/people/George_Bush.png,George Bush,george-bush-books,,,
producer,https://learn-awesome.github.io/assets/people/Larry_King.png,Larry King,larry-king-books,,,
producer,https://learn-awesome.github.io/assets/people/Mike_Rowe.png,Mike Rowe,mike-rowe-books,,,
producer,https://learn-awesome.github.io/assets/people/Judd_Apatow.png,Judd Apatow,judd-apatow-books,,,
producer,https://learn-awesome.github.io/assets/people/Evan_Goldberg.png,Evan Goldberg,evan-goldberg-books,,,
producer,https://learn-awesome.github.io/assets/people/Glenn_Beck.png,Glenn Beck,glenn-beck-books,,,
producer,https://learn-awesome.github.io/assets/people/Veronica_Belmont.png,Veronica Belmont,veronica-belmont-books,,,
producer,https://learn-awesome.github.io/assets/people/Bear_Grylls.png,Bear Grylls,bear-grylls-books,,,
producer,https://learn-awesome.github.io/assets/people/Tommy_Vietor.png,Tommy Vietor,tommy-vietor-books,,,
producer,https://learn-awesome.github.io/assets/people/Phil_Keoghan.png,Phil Keoghan,phil-keoghan-books,,,
producer,https://learn-awesome.github.io/assets/people/Alex_Blumberg.png,Alex Blumberg,alex-blumberg-books,,,
producer,https://learn-awesome.github.io/assets/people/Brian_Grazer.png,Brian Grazer,brian-grazer-books,,,
scientist,https://learn-awesome.github.io/assets/people/Neil_deGrasse_Tyson.png,Neil deGrasse Tyson,neil-degrasse-tyson-books,,,
scientist,https://learn-awesome.github.io/assets/people/Donald_Knuth.png,Donald Knuth,donald-knuth-books,,,
scientist,https://learn-awesome.github.io/assets/people/Bill_Nye.png,Bill Nye,bill-nye-books,,,
scientist,https://learn-awesome.github.io/assets/people/Lewis_Cantley.png,Lewis Cantley,lewis-cantley-books,,,
scientist,https://learn-awesome.github.io/assets/people/Alan_Kay.png,Alan Kay,alan-kay-books,,,
scientist,https://learn-awesome.github.io/assets/people/Lex_Fridman.png,Lex Fridman,lex-fridman-books,,,
scientist,https://learn-awesome.github.io/assets/people/Jonathan_Eisen.png,Jonathan Eisen,jonathan-eisen-books,,,
scientist,https://learn-awesome.github.io/assets/people/Brian_Cox.png,Brian Cox,brian-cox-books,,,
scientist,https://learn-awesome.github.io/assets/people/Dominic_D'Agostino.png,Dominic D'Agostino,dominic-dagostino-books,,,
scientist,https://learn-awesome.github.io/assets/people/Jeff_Dean.png,Jeff Dean,jeff-dean-books,,,
scientist,https://learn-awesome.github.io/assets/people/Adam_Gazzaley.png,Adam Gazzaley,adam-gazzaley-books,,,
scientist,https://learn-awesome.github.io/assets/people/Patrick_Arnold.png,Patrick Arnold,patrick-arnold-books,,,
scientist,https://learn-awesome.github.io/assets/people/David_Sabatini.png,David Sabatini,david-sabatini-books,,,
scientist,https://learn-awesome.github.io/assets/people/Lisa_Randall.png,Lisa Randall,lisa-randall-books,,,